"Player","Games","W","L","Win %","K","D","A","KDA","GPM","XPM","LH","DN","LVL","HD","TD","HH","GS"
"Cr1t-","27","20","7","0.7407407407","4.111111111111111","6.555555555555555","19.11111111111111","4.219222649778206","304.1111111111111","439.6666666666667","52.25925925925926","3.925925925925926","19.185185185185187","13225.25925925926","1254","2538.777777777778","9550"
"SumaiL","27","20","7","0.7407407407","10.222222222222221","4.481481481481482","13.333333333333334","8.446340388007055","619.4444444444445","610.2222222222222","302.5925925925926","12.296296296296296","22.37037037037037","28354.25925925926","2438.1481481481483","147.7037037037037","21937.962962962964"
"Arteezy","27","20","7","0.7407407407","9.62962962962963","4.7407407407407405","12.481481481481481","6.4981187536743095","541.6296296296297","584.6666666666666","245","16.703703703703702","22.11111111111111","24374.185185185186","3337.185185185185","353.22222222222223","18027.777777777777"
"Fly","27","20","7","0.7407407407","3.148148148148148","7.518518518518518","18.22222222222222","3.880392447059114","317.6296296296296","402.55555555555554","68.70370370370371","4.777777777777778","18.51851851851852","11752.111111111111","494.0740740740741","1786.3703703703704","10585.37037037037"
"S4","27","20","7","0.7407407407","7.407407407407407","4.703703703703703","14.703703703703704","8.272486772486772","468.48148148148147","538.2962962962963","188.07407407407408","10.88888888888889","21.40740740740741","21275.74074074074","3374.8518518518517","1591.7777777777778","15242.407407407407"
"Puppey","26","13","13","0.5","2.3846153846153846","7.3076923076923075","16.653846153846153","4.508519258519258","289.6923076923077","340.4230769230769","71.38461538461539","4.3076923076923075","17.5","10995","580.3076923076923","1401.9615384615386","10638.461538461537"
"YapzOr","26","13","13","0.5","4.615384615384615","4.6923076923076925","16.46153846153846","8.330816405816405","306.96153846153845","421.65384615384613","80.11538461538461","3.576923076923077","19.5","15219.653846153846","260.2307692307692","1242.5384615384614","11382.307692307691"
"MidOne","26","13","13","0.5","6.884615384615385","4.6923076923076925","12.384615384615385","6.3283383283383285","525.5","537.8846153846154","290.15384615384613","15.076923076923077","21.653846153846153","25492.153846153848","2518.769230769231","209.73076923076923","18992.69230769231"
"Fata","26","13","13","0.5","7.153846153846154","5.115384615384615","11.923076923076923","7.267340992340992","462.61538461538464","476.4230769230769","230.03846153846155","8.461538461538462","20.53846153846154","18950.46153846154","2325.8846153846152","1725.9615384615386","16100.192307692309"
"Ace","26","13","13","0.5","7.8076923076923075","4.730769230769231","10.653846153846153","7.8341398985629755","512","521.0769230769231","279.53846153846155","11.076923076923077","21.5","23809.5","4012.4615384615386","1165.5384615384614","17704.423076923078"
